,id,Director,Leading_Actor,Supporting_Lead,Supporting_Actor
826,8984,Barry Levinson,Michael Douglas,Demi Moore,Donald Sutherland
827,795,Brad Silberling,Nicolas Cage,Meg Ryan,Andre Braugher
828,24,Quentin Tarantino,Uma Thurman,Lucy Liu,Vivica A. Fox
829,11353,Frank Oz,Steve Martin,Eddie Murphy,Heather Graham
830,393,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah
831,9618,Andrei Konchalovsky,Sylvester Stallone,Kurt Russell,Teri Hatcher
832,9374,Robert Zemeckis,Meryl Streep,Bruce Willis,Goldie Hawn
833,8584,Tom Dey,Jackie Chan,Owen Wilson,Lucy Liu
834,2320,Stuart Baird,Kurt Russell,Steven Seagal,Halle Berry
835,58224,Mark Waters,Jim Carrey,Carla Gugino,Madeline Carroll
836,1729,Rob Minkoff,Jackie Chan,Jet Li,Michael Angarano
837,175574,Jimmy Hayward,Owen Wilson,Woody Harrelson,Amy Poehler
838,8077,David Fincher,Sigourney Weaver,Charles S. Dutton,Charles Dance
839,8818,Alan Parker,Madonna,Antonio Banderas,Jonathan Pryce
840,8195,John Frankenheimer,Robert De Niro,Jean Reno,Natascha McElhone
841,10586,Stephen Hopkins,Michael Douglas,Val Kilmer,Tom Wilkinson
842,116149,Paul King,Nicole Kidman,Peter Capaldi,Ben Whishaw
843,80035,Akiva Schaffer,Ben Stiller,Vince Vaughn,Jonah Hill
844,10632,William Friedkin,Tommy Lee Jones,Benicio del Toro,Connie Nielsen
845,12117,Jon Turteltaub,Anthony Hopkins,Cuba Gooding Jr.,Donald Sutherland
846,1792,Bobby Farrelly,Matt Damon,Greg Kinnear,Eva Mendes
847,13260,Kent Alterman,Will Ferrell,Maura Tierney,Woody Harrelson
848,72197,Peter Lord,Hugh Grant,Brendan Gleeson,Jeremy Piven
849,3580,Clint Eastwood,Angelina Jolie,Jeffrey Donovan,John Malkovich
850,12123,Andrew Davis,Keanu Reeves,Morgan Freeman,Rachel Weisz
851,9566,Tony Scott,Robert De Niro,Wesley Snipes,Ellen Barkin
852,9833,Joel Schumacher,Gerard Butler,Emmy Rossum,Patrick Wilson
853,4517,Shekhar Kapur,Cate Blanchett,Clive Owen,Geoffrey Rush
854,8202,Karyn Kusama,Charlize Theron,Marton Csokas,Jonny Lee Miller
855,16072,Ronald F. Maxwell,Stephen Lang,Jeff Daniels,Robert Duvall
856,34314,Robert Butler,Ray Liotta,Lauren Holly,Brendan Gleeson
857,19724,Karey Kirkpatrick,Eddie Murphy,Thomas Haden Church,Yara Shahidi
858,145220,James Bobin,Ricky Gervais,Ty Burrell,Tina Fey
859,14623,Jonathan Frakes,Brady Corbet,Soren Fulton,Debora Weston
860,42297,Steve Antin,Cher,Christina Aguilera,Eric Dane
861,2841,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,Dominique Pinon
862,802,Stanley Kubrick,James Mason,Sue Lyon,Shelley Winters
863,10375,Jim Gillespie,Sylvester Stallone,Courtney B. Vance,Tom Berenger
864,36586,Guillermo del Toro,Wesley Snipes,Kris Kristofferson,Ron Perlman
865,11321,Gabriele Muccino,Will Smith,Rosario Dawson,Sarah Jane Morris
866,70074,Walter Hill,Sylvester Stallone,Sung Kang,Sarah Shahi
867,242,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy García
868,9621,Cameron Crowe,Orlando Bloom,Kirsten Dunst,Susan Sarandon
869,1819,Anthony Russo,Kate Hudson,Owen Wilson,Matt Dillon
870,8536,Richard Lester,Gene Hackman,Christopher Reeve,Ned Beatty
871,8046,Martin Brest,Ben Affleck,Jennifer Lopez,Justin Bartha
872,1717,Steven Zaillian,Sean Penn,Jude Law,Kate Winslet
873,479,John Singleton,Samuel L. Jackson,Jeffrey Wright,Christian Bale
874,9444,Gary Goldman,Meg Ryan,John Cusack,Christopher Lloyd
875,824,Baz Luhrmann,Nicole Kidman,Ewan McGregor,John Leguizamo
876,11456,Harold Becker,John Travolta,Vince Vaughn,Teri Polo
877,261023,Scott Cooper,Johnny Depp,Joel Edgerton,Benedict Cumberbatch
878,3683,Clint Eastwood,Ryan Phillippe,Adam Beach,Jesse Bradford
879,22803,F. Gary Gray,Jamie Foxx,Gerard Butler,Colm Meaney
880,285923,Robert Rodriguez,Kurt Russell,Zoë Bell,Rosario Dawson
881,39437,Jonathan Demme,Oprah Winfrey,Danny Glover,Thandie Newton
882,1950,Curtis Hanson,Eric Bana,Drew Barrymore,Robert Duvall
883,640,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken
884,97630,Kathryn Bigelow,Jessica Chastain,Jason Clarke,Mark Strong
885,9767,Peyton Reed,Vince Vaughn,Jennifer Aniston,Joey Lauren Adams
886,11631,Phyllida Lloyd,Meryl Streep,Pierce Brosnan,Amanda Seyfried
887,32856,Garry Marshall,Jessica Alba,Jessica Biel,Bradley Cooper
888,6519,Jay Chandrasekhar,Johnny Knoxville,Seann William Scott,Jessica Simpson
889,8741,Terrence Malick,Sean Penn,Adrien Brody,Jim Caviezel
890,49520,David Dobkin,Olivia Wilde,Ryan Reynolds,Jason Bateman
891,1850,Miloš Forman,Jim Carrey,Courtney Love,Bob Zmuda
892,524,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci
893,26389,Pierre Morel,John Travolta,Jonathan Rhys Meyers,Kasia Smutniak
894,11817,Paul Hunter,Seann William Scott,Jaime King,Karel Roden
895,2123,Bobby Farrelly,Jim Carrey,Renée Zellweger,Anthony Anderson
896,9907,Steve Oedekerk,Courteney Cox,Kevin James,Sam Elliott
897,9969,John Whitesell,Danny DeVito,Matthew Broderick,Kristin Davis
898,18239,Chris Weitz,Kristen Stewart,Robert Pattinson,Taylor Lautner
899,808,Andrew Adamson,Mike Myers,Eddie Murphy,Cameron Diaz
900,38050,George Nolfi,Matt Damon,Emily Blunt,John Slattery
901,8367,Kevin Reynolds,Kevin Costner,Morgan Freeman,Christian Slater
902,9390,Cameron Crowe,Tom Cruise,Cuba Gooding Jr.,Renée Zellweger
903,72105,Seth MacFarlane,Mark Wahlberg,Mila Kunis,Seth MacFarlane
904,2898,James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear
905,10312,Tom Shadyac,Robin Williams,Philip Seymour Hoffman,Bob Gunton
906,109443,Adam McKay,Will Ferrell,Steve Carell,Paul Rudd
907,2022,Steven Brill,Adam Sandler,Winona Ryder,John Turturro
908,37686,J.J. Abrams,Joel Courtney,Elle Fanning,Riley Griffiths
909,462,Steven Soderbergh,Julia Roberts,Albert Finney,Aaron Eckhart
910,9919,Donald Petrie,Kate Hudson,Matthew McConaughey,Kathryn Hahn
911,187017,Phil Lord,Jonah Hill,Channing Tatum,Dave Franco
912,628,Neil Jordan,Brad Pitt,Tom Cruise,Kirsten Dunst
913,10201,Peyton Reed,Jim Carrey,Zooey Deschanel,Rhys Darby
914,302699,Rawson Marshall Thurber,Dwayne Johnson,Kevin Hart,Amy Ryan
915,9441,Chris Columbus,Julia Roberts,Susan Sarandon,Ed Harris
916,274167,Sean Anders,Will Ferrell,Mark Wahlberg,Linda Cardellini
917,224141,Rob Marshall,Meryl Streep,Emily Blunt,James Corden
918,388,Spike Lee,Denzel Washington,Clive Owen,Jodie Foster
919,2112,Brian Helgeland,Mel Gibson,Kris Kristofferson,Gregg Henry
920,10329,Frank Marshall,Laura Linney,Dylan Walsh,Ernie Hudson
921,74465,Cameron Crowe,Matt Damon,Scarlett Johansson,Thomas Haden Church
922,13811,Alex Proyas,Nicolas Cage,Rose Byrne,Chandler Canterbury
923,6877,Tom Dey,Matthew McConaughey,Sarah Jessica Parker,Zooey Deschanel
924,10320,Hideo Nakata,Naomi Watts,Simon Baker,Elizabeth Perkins
925,50646,Glenn Ficarra,Steve Carell,Julianne Moore,Ryan Gosling
926,8920,Peter Hewitt,Bill Murray,Breckin Meyer,Jennifer Love Hewitt
927,13673,Joe Roth,Tim Allen,Jamie Lee Curtis,Dan Aykroyd
928,60308,Bennett Miller,Brad Pitt,Jonah Hill,Philip Seymour Hoffman
929,6950,Wolfgang Petersen,Dustin Hoffman,Rene Russo,Morgan Freeman
930,225574,Jaume Collet-Serra,Liam Neeson,Julianne Moore,Scoot McNairy
931,13836,Andy Fickman,Dwayne Johnson,AnnaSophia Robb,Alexander Ludwig
932,752,James McTeigue,Natalie Portman,Hugo Weaving,Stephen Rea
933,6038,David Dobkin,Jackie Chan,Owen Wilson,Fann Wong
934,9975,Matthew O'Callaghan,Will Ferrell,Drew Barrymore,David Cross
935,11451,Angela Robinson,Lindsay Lohan,Michael Keaton,Matt Dillon
936,12103,Gary Fleder,Michael Douglas,Sean Bean,Brittany Murphy
937,60304,Tommy Wirkola,Jeremy Renner,Gemma Arterton,Famke Janssen
938,2251,Adrian Lyne,Richard Gere,Diane Lane,Olivier Martinez
939,46529,D.J. Caruso,Alex Pettyfer,Timothy Olyphant,Teresa Palmer
940,231,Stephen Gaghan,George Clooney,Matt Damon,Jeffrey Wright
941,300671,Michael Bay,James Badge Dale,John Krasinski,Max Martini
942,228326,Jorge R. Gutierrez,Diego Luna,Channing Tatum,Zoe Saldana
943,9754,Richard Loncraine,Harrison Ford,Paul Bettany,Virginia Madsen
944,66,Clint Eastwood,Clint Eastwood,Gene Hackman,Ed Harris
945,4421,Ridley Scott,Demi Moore,Viggo Mortensen,Anne Bancroft
946,2649,David Fincher,Michael Douglas,Sean Penn,Deborah Kara Unger
947,588,Christophe Gans,Radha Mitchell,Sean Bean,Laurie Holden
948,10393,Howard Deutch,Keanu Reeves,Gene Hackman,Brooke Langton
949,71552,Jon Hurwitz,Jason Biggs,Alyson Hannigan,Seann William Scott
950,9631,F. Gary Gray,Samuel L. Jackson,Kevin Spacey,David Morse
951,216282,Steven Quale,Richard Armitage,Sarah Wayne Callies,Matt Walsh
952,306,John Landis,Eddie Murphy,Judge Reinhold,Héctor Elizondo
953,928,Joe Dante,Zach Galligan,Phoebe Cates,John Glover
954,205587,David Dobkin,Robert Duvall,Robert Downey Jr.,Vera Farmiga
955,6623,Mimi Leder,George Clooney,Nicole Kidman,Marcel Iureș
956,1577,Alexander Witt,Milla Jovovich,Sienna Guillory,Oded Fehr
957,9801,Beeban Kidron,Renée Zellweger,Hugh Grant,Colin Firth
958,2116,Carl Franklin,Denzel Washington,Eva Mendes,Sanaa Lathan
959,9624,Steven Seagal,Steven Seagal,Michael Caine,Joan Chen
960,14199,Robert Rodriguez,Taylor Lautner,Taylor Dooley,Cayden Boyd
961,1907,Danny Boyle,Leonardo DiCaprio,Guillaume Canet,Tilda Swinton
962,4599,Garry Marshall,Kate Hudson,John Corbett,Joan Cusack
963,22832,James McTeigue,Rain,Naomie Harris,Sung Kang
964,10390,Sam Raimi,Kevin Costner,Kelly Preston,John C. Reilly
965,9879,Andrew Bergman,Demi Moore,Burt Reynolds,Armand Assante
966,38579,Tom Dey,Owen Wilson,Emma Stone,George Lopez
967,44603,Clint Eastwood,Matt Damon,Bryce Dallas Howard,George McLaren
968,11892,Barbet Schroeder,Sandra Bullock,Ben Chaplin,Ryan Gosling
969,9691,Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore
970,1248,Peter Webber,Gaspard Ulliel,Aaran Thomas,Gong Li
971,12220,Rob Reiner,Bruce Willis,Michelle Pfeiffer,Rob Reiner
972,72710,Andrew Niccol,Saoirse Ronan,Diane Kruger,Jake Abel
973,10782,John McTiernan,John Travolta,Connie Nielsen,Samuel L. Jackson
974,9573,Clint Eastwood,Clint Eastwood,Jeff Daniels,Anjelica Huston
975,4959,Tom Tykwer,Clive Owen,Naomi Watts,Armin Mueller-Stahl
976,10061,John Carpenter,Kurt Russell,Stacy Keach,Steve Buscemi
977,10386,Brad Bird,Eli Marienthal,Jennifer Aniston,Vin Diesel
978,421,Wes Anderson,Bill Murray,Anjelica Huston,Cate Blanchett
979,316152,Gary Ross,Matthew McConaughey,Gugu Mbatha-Raw,Mahershala Ali
980,11615,Alan Parker,Kevin Spacey,Kate Winslet,Laura Linney
981,13498,Stephen Herek,Tommy Lee Jones,Cedric the Entertainer,Christina Milian
982,241554,Jaume Collet-Serra,Liam Neeson,Ed Harris,Joel Kinnaman
983,2252,David Cronenberg,Naomi Watts,Viggo Mortensen,Vincent Cassel
984,11968,John Stockwell,Paul Walker,Jessica Alba,Scott Caan
985,10047,Luc Besson,Milla Jovovich,Dustin Hoffman,Faye Dunaway
986,38319,David Gordon Green,Danny McBride,James Franco,Natalie Portman
987,69668,Jim Sheridan,Daniel Craig,Naomi Watts,Rachel Weisz
988,9770,Costa-Gavras,John Travolta,Dustin Hoffman,Mia Kirshner
989,11212,Patrick Read Johnson,Joe Mantegna,Lara Flynn Boyle,Joe Pantoliano
990,10533,Roland Joffé,Demi Moore,Gary Oldman,Robert Duvall
991,38363,Doug Liman,Naomi Watts,Sean Penn,Ty Burrell
992,9923,Tony Scott,Keira Knightley,Mickey Rourke,Edgar Ramírez
993,11863,William Friedkin,David Caruso,Linda Fiorentino,Chazz Palminteri
994,18501,Brian Taylor,Gerard Butler,Michael C. Hall,Logan Lerman
995,109491,Richard LaGravenese,Alden Ehrenreich,Alice Englert,Jeremy Irons
996,9275,Danny DeVito,Robin Williams,Catherine Keener,Edward Norton
997,329833,Ben Stiller,Ben Stiller,Owen Wilson,Will Ferrell
998,12634,George Armitage,Owen Wilson,Morgan Freeman,Gary Sinise
999,10416,Mike Nichols,Garry Shandling,Annette Bening,John Goodman
1000,47327,Patrick Lussier,Nicolas Cage,Amber Heard,William Fichtner
1001,15268,Andrzej Bartkowiak,Kristin Kreuk,Chris Klein,Neal McDonough
1002,10796,James Wong,Jet Li,Jason Statham,Carla Gugino
1003,9548,Renny Harlin,Andrew Dice Clay,Wayne Newton,Priscilla Presley
1004,18947,Richard Curtis,Tom Sturridge,Philip Seymour Hoffman,Rhys Ifans
1005,1900,Steven Soderbergh,Michael Douglas,Benicio del Toro,Jacob Vargas
1006,89,Steven Spielberg,Harrison Ford,Sean Connery,Denholm Elliott
1007,96724,Joe Wright,Keira Knightley,Jude Law,Aaron Taylor-Johnson
1008,198184,Neill Blomkamp,Sharlto Copley,Dev Patel,Ninja
1009,9481,Phillip Noyce,Denzel Washington,Angelina Jolie,Queen Latifah
1010,4547,David Fincher,Jodie Foster,Kristen Stewart,Forest Whitaker
1011,53953,Chuck Bowman,Lochlyn Munro,Chandra West,Steve Bacic
1012,6415,David O. Russell,George Clooney,Mark Wahlberg,Ice Cube
1013,181283,Daniel Espinosa,Tom Hardy,Gary Oldman,Noomi Rapace
1014,9896,Jerry Zucker,Cuba Gooding Jr.,Seth Green,Whoopi Goldberg
1015,167,Iain Softley,Jeff Bridges,Kevin Spacey,Mary McCormack
1016,11232,James Mangold,Meg Ryan,Hugh Jackman,Liev Schreiber
1017,1636,Harold Ramis,Elizabeth Hurley,Brendan Fraser,Frances O'Connor
1018,2148,Francis Ford Coppola,Richard Gere,Gregory Hines,Diane Lane
1019,5176,James Mangold,Russell Crowe,Christian Bale,Logan Lerman
1020,260346,Olivier Megaton,Liam Neeson,Forest Whitaker,Maggie Grace
1021,1389,Steven Soderbergh,George Clooney,Jennifer Lopez,Ving Rhames
1022,9894,Ben Stiller,Jim Carrey,Matthew Broderick,Leslie Mann
1023,7504,Deepa Mehta,Aamir Khan,Nandita Das,Maia Sethna
1024,8592,Warren Beatty,Warren Beatty,Al Pacino,Madonna
1025,913,John McTiernan,Pierce Brosnan,Rene Russo,Denis Leary
1026,11091,Penny Marshall,Drew Barrymore,Steve Zahn,Adam Garcia
1027,1368,Ted Kotcheff,Sylvester Stallone,Richard Crenna,Brian Dennehy
1028,593,Andrei Tarkovsky,Donatas Banionis,Natalya Bondarchuk,Jüri Järvet
1029,5393,Yvette Kaplan,George Carlin,Andy Dick,Sarah Michelle Gellar
1030,9095,Stephen Frears,Julia Roberts,John Malkovich,George Cole
1031,8874,P.J. Hogan,Julia Roberts,Dermot Mulroney,Cameron Diaz
1032,11467,Joe Roth,Julia Roberts,Billy Crystal,Catherine Zeta-Jones
1033,320,Christopher Nolan,Al Pacino,Robin Williams,Hilary Swank
1034,199,Jonathan Frakes,Patrick Stewart,Jonathan Frakes,Brent Spiner
1035,20533,Jimmy Hayward,Josh Brolin,John Malkovich,Megan Fox
1036,10684,Edward Zwick,Denzel Washington,Meg Ryan,Lou Diamond Phillips
1037,1624,Tom Shadyac,Jim Carrey,Maura Tierney,Cary Elwes
1038,325789,Brad Furman,Bryan Cranston,Diane Kruger,John Leguizamo
1039,113464,Terence Young,Laurence Olivier,Jacqueline Bisset,Ben Gazzara
1040,888,Brian Levant,John Goodman,Elizabeth Perkins,Rick Moranis
1041,82675,Olivier Megaton,Liam Neeson,Maggie Grace,Famke Janssen
1042,4256,David Zucker,Pamela Anderson,Jenny McCarthy,Marny Eng
1043,1493,Donald Petrie,Sandra Bullock,Benjamin Bratt,Michael Caine
1044,88751,Eric Brevig,Brendan Fraser,Josh Hutcherson,Anita Briem
1045,11130,Garry Marshall,Anne Hathaway,Julie Andrews,Héctor Elizondo
1046,9944,Alan J. Pakula,Julia Roberts,Denzel Washington,Sam Shepard
1047,10731,Joel Schumacher,Susan Sarandon,Tommy Lee Jones,Mary-Louise Parker
1048,7350,Rob Reiner,Jack Nicholson,Morgan Freeman,Sean Hayes
1049,9869,Phillip Noyce,Harrison Ford,Anne Archer,Patrick Bergin
1050,4379,Robert Luketic,Jennifer Lopez,Jane Fonda,Michael Vartan
1051,146233,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Paul Dano
1052,2034,Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn
1053,926,Dean Parisot,Tim Allen,Sigourney Weaver,Alan Rickman
1054,4248,Keenen Ivory Wayans,Anna Faris,Marlon Wayans,James DeBello
1055,64328,James Bobin,Amy Adams,Jason Segel,Emily Blunt
1056,36647,Stephen Norrington,Wesley Snipes,Stephen Dorff,Kris Kristofferson
1057,7214,Thomas Carter,Samuel L. Jackson,Rob Brown,Robert Ri'chard
1058,1537,Roger Michell,Ben Affleck,Samuel L. Jackson,Kim Staunton
1059,9360,Luis Llosa,Jennifer Lopez,Ice Cube,Jon Voight
1060,6282,David McNally,Piper Perabo,Adam Garcia,John Goodman
1061,508,Richard Curtis,Keira Knightley,Heike Makatsch,Emma Thompson
1062,9487,Andrew Stanton,Kevin Spacey,Julia Louis-Dreyfus,Hayden Panettiere
1063,768,Albert Hughes,Johnny Depp,Heather Graham,Ian Holm
1064,2636,Luis Llosa,Sylvester Stallone,Sharon Stone,James Woods
1065,10478,Ron Shelton,Kevin Costner,Don Johnson,Cheech Marin
1066,27983,Melville Shavelson,Lucille Ball,Henry Fonda,Van Johnson
1067,9981,Jesse Dylan,Will Ferrell,Robert Duvall,Kate Walsh
1068,7453,Garth Jennings,Martin Freeman,Zooey Deschanel,Sam Rockwell
1069,15045,Joel Zwick,Kenan Thompson,Shedrack Anderson III,Jermaine Williams
1070,7737,Russell Mulcahy,Milla Jovovich,Oded Fehr,Ali Larter
1071,232672,Frank Coraci,Drew Barrymore,Adam Sandler,Wendi McLendon-Covey
1072,17379,Wayne Wang,Queen Latifah,LL Cool J,Timothy Hutton
1073,8987,Curtis Hanson,Meryl Streep,David Strathairn,Kevin Bacon
1074,11359,Frank Oz,Hal Scardino,Litefoot,Lindsay Crouse
1075,82525,Oliver Stone,Blake Lively,Taylor Kitsch,Aaron Taylor-Johnson
1076,9759,David R. Ellis,Chris Evans,Kim Basinger,Jason Statham
1077,9486,Peter Howitt,Rowan Atkinson,John Malkovich,Natalie Imbruglia
1078,9906,John A. Davis,Julia Roberts,Meryl Streep,Nicolas Cage
1079,841,David Lynch,Kyle MacLachlan,Francesca Annis,Leonardo Cimino
1080,4688,Julie Taymor,Evan Rachel Wood,Jim Sturgess,Joe Anderson
1081,4148,Sam Mendes,Leonardo DiCaprio,Kate Winslet,Michael Shannon
1082,2207,Richard Donner,Bruce Willis,Yasiin Bey,David Morse
1083,9381,Mathieu Kassovitz,Vin Diesel,Michelle Yeoh,Mélanie Thierry
1084,9625,John Gray,Steven Seagal,Keenen Ivory Wayans,Bob Gunton
1085,9304,Harold Ramis,Michael Keaton,Andie MacDowell,Harris Yulin
1086,20856,John Schultz,Carter Jenkins,Austin Butler,Kevin Nealon
1087,5955,Sean Penn,Jack Nicholson,Aaron Eckhart,Helen Mirren
1088,9899,Susan Stroman,Matthew Broderick,Uma Thurman,Will Ferrell
1089,9826,Simon Wincer,Billy Zane,Kristy Swanson,Treat Williams
1090,21355,Billy Bob Thornton,Matt Damon,Henry Thomas,Penélope Cruz
1091,10858,Oliver Stone,Anthony Hopkins,Joan Allen,Powers Boothe
1092,11439,Roman Polanski,Ewan McGregor,Pierce Brosnan,Jon Bernthal
1093,9457,Stephen Sommers,Treat Williams,Famke Janssen,Anthony Heald
1094,12412,Spike Lee,Derek Luke,Michael Ealy,Laz Alonso
1095,1494,Zhang Yimou,Chow Yun-fat,Gong Li,Jay Chou
1096,13184,Danny Pang,Nicolas Cage,Shahkrit Yamnarm,Charlie Yeung
1097,2185,Barry Sonnenfeld,Tim Allen,Rene Russo,Patrick Warburton
1098,6639,Mike Newell,Javier Bardem,Unax Ugalde,Benjamin Bratt
1099,38153,George P. Cosmatos,Charlie Sheen,Donald Sutherland,Linda Hamilton
1100,58233,Oliver Parker,Rowan Atkinson,Dominic West,Gillian Anderson
1101,116977,Lawrence Kasanoff,Charlie Sheen,Wayne Brady,Hilary Duff
1102,68734,Ben Affleck,Ben Affleck,Bryan Cranston,Alan Arkin
1103,5503,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward
1104,27573,Andy Tennant,Gerard Butler,Jennifer Aniston,Gio Perez
1105,819,Barry Levinson,Robert De Niro,Brad Pitt,Kevin Bacon
1106,1369,George P. Cosmatos,Sylvester Stallone,Richard Crenna,Charles Napier
1107,9623,Brian Gibson,Demi Moore,Alec Baldwin,Joseph Gordon-Levitt
1108,10895,Ben Sharpsteen,Mel Blanc,Don Brodie,Walter Catlett
1109,10935,Michael Cimino,Kris Kristofferson,Christopher Walken,John Hurt
1110,834,Len Wiseman,Kate Beckinsale,Scott Speedman,Tony Curran
1111,228066,Paul McGuigan,James McAvoy,Daniel Radcliffe,Jessica Brown Findlay
1112,711,Gus Van Sant,Sean Connery,Rob Brown,F. Murray Abraham
1113,10468,Betty Thomas,Sandra Bullock,Viggo Mortensen,Dominic West
1114,10027,Louis Leterrier,Jet Li,Morgan Freeman,Bob Hoskins
1115,11812,Roger Kumble,Cameron Diaz,Christina Applegate,Thomas Jane
1116,37233,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman
1117,37950,Burr Steers,Zac Efron,Amanda Crew,Charlie Tahan
1118,27582,Simon West,Jason Statham,Ben Foster,Donald Sutherland
1119,64688,Phil Lord,Channing Tatum,Jonah Hill,Brie Larson
1120,509,Roger Michell,Julia Roberts,Hugh Grant,Gina McKee
1121,7443,Nick Park,Mel Gibson,Miranda Richardson,Timothy Spall
1122,5966,John Hamburg,Ben Stiller,Jennifer Aniston,Philip Seymour Hoffman
1123,11066,Reginald Hudlin,Eddie Murphy,Robin Givens,Halle Berry
1124,136795,Paul Feig,Sandra Bullock,Melissa McCarthy,Demián Bichir
1125,8095,Joseph L. Mankiewicz,Elizabeth Taylor,Richard Burton,Rex Harrison
1126,87826,Frank Coraci,Salma Hayek,Kevin James,Henry Winkler
1127,11560,Carl Franklin,Ashley Judd,Morgan Freeman,Jim Caviezel
1128,25189,Barbra Streisand,Barbra Streisand,Jeff Bridges,Lauren Bacall
1129,2637,Mark Pellington,Richard Gere,Laura Linney,Will Patton
1130,18480,Larry Charles,Sacha Baron Cohen,Richard Bey,Ron Paul
1131,709,John Glen,Timothy Dalton,Carey Lowell,Robert Davi
1132,49730,Catherine Hardwicke,Amanda Seyfried,Gary Oldman,Billy Burke
1133,2749,John Herzfeld,Robert De Niro,Charlize Theron,Edward Burns
1134,9607,Annabel Jankel,Bob Hoskins,John Leguizamo,Dennis Hopper
1135,1830,Andrew Niccol,Nicolas Cage,Bridget Moynahan,Jared Leto
1136,79,Zhang Yimou,Jet Li,Tony Leung Chiu-Wai,Maggie Cheung
1137,54054,Julie Anne Robinson,Katherine Heigl,Jason O'Mara,Daniel Sunjata
1138,228967,Seth Rogen,James Franco,Seth Rogen,Lizzy Caplan
1139,46528,Sngmoo Lee,Kate Bosworth,Jang Dong-gun,Geoffrey Rush
1140,27936,Jean-Pierre Jeunet,Dany Boon,Dominique Pinon,André Dussollier
1141,65,Curtis Hanson,Eminem,Mekhi Phifer,Brittany Murphy
1142,280391,Jamel Debbouze,Jamel Debbouze,Arié Elmaleh,Mélissa Theuriau
1143,9476,Brian Helgeland,Heath Ledger,Rufus Sewell,Shannyn Sossamon
1144,10610,Gordon Chan,Jackie Chan,Lee Evans,Claire Forlani
1145,745,M. Night Shyamalan,Bruce Willis,Toni Collette,Olivia Williams
1146,49527,Asger Leth,Sam Worthington,Elizabeth Banks,Jamie Bell
1147,73937,David Frankel,Owen Wilson,Steve Martin,Jack Black
1148,1885,John G. Avildsen,Ralph Macchio,Pat Morita,William Zabka
1149,168672,David O. Russell,Christian Bale,Bradley Cooper,Amy Adams
1150,18240,Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen
1151,10398,Bruce Beresford,Tommy Lee Jones,Ashley Judd,Bruce Greenwood
1152,165,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson
1153,240832,Luc Besson,Scarlett Johansson,Morgan Freeman,Choi Min-sik
1154,216015,Sam Taylor-Johnson,Dakota Johnson,Jamie Dornan,Jennifer Ehle
1155,12279,Robert Rodriguez,Antonio Banderas,Carla Gugino,Alexa PenaVega
1156,1645,Joel Schumacher,Matthew McConaughey,Sandra Bullock,Samuel L. Jackson
1157,11007,Shawn Levy,Steve Martin,Bonnie Hunt,Piper Perabo
1158,193756,Peter Berg,Mark Wahlberg,Taylor Kitsch,Emile Hirsch
1159,11287,Penny Marshall,Tom Hanks,Geena Davis,Madonna
1160,259693,James Wan,Patrick Wilson,Vera Farmiga,Madison Wolfe
1161,37799,David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake
1162,10184,Ken Kwapis,Ben Affleck,Jennifer Aniston,Drew Barrymore
1163,4257,David Zucker,Anna Faris,Regina Hall,Craig Bierko
1164,4234,Wes Craven,David Arquette,Neve Campbell,Courteney Cox
1165,196,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Mary Steenburgen
1166,257091,Etan Cohen,Will Ferrell,Kevin Hart,Alison Brie
1167,6114,Francis Ford Coppola,Gary Oldman,Winona Ryder,Anthony Hopkins
1168,24803,Nora Ephron,Meryl Streep,Amy Adams,Stanley Tucci
1169,109410,Brian Helgeland,Chadwick Boseman,T.R. Knight,Harrison Ford
1170,1213,Anthony Minghella,Matt Damon,Gwyneth Paltrow,Jude Law
1171,100042,Bobby Farrelly,Jim Carrey,Jeff Daniels,Rachel Melvin
1172,9036,Frank Marshall,Paul Walker,Bruce Greenwood,Moon Bloodgood
1173,257211,Nancy Meyers,Robert De Niro,Anne Hathaway,Rene Russo
1174,323675,Tim Story,Kevin Hart,Ice Cube,Olivia Munn
1175,9361,Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means
1176,1677,Taylor Hackford,Jamie Foxx,Kerry Washington,Regina King
1177,187,Robert Rodriguez,Jessica Alba,Devon Aoki,Clive Owen
1178,7461,Pete Travis,Dennis Quaid,Matthew Fox,Forest Whitaker
1179,16538,John Hamburg,Paul Rudd,Jason Segel,Rashida Jones
1180,9889,Bobby Farrelly,Gwyneth Paltrow,Jack Black,Jason Alexander
